question,avg_abs_coef_normalized
Does the sentence reference a specific time or date?,1.0
Does the sentence include dialogue or thoughts directed towards another character?,0.944
Is the input related to physical injury or trauma?,0.907
Does the sentence include technical or specialized terminology?,0.883
Is the sentence a command?,0.878
Does the sentence reveal a secret or confidential information?,0.86
Does the sentence involve time travel or hypothetical future scenarios?,0.842
Does the sentence describe a relationship between people?,0.835
Does the sentence contain a proper noun?,0.813
Does the sentence describe weather conditions?,0.749
Does the sentence include a direct speech quotation?,0.743
Does the sentence include a number or statistic?,0.732
Does the sentence use a unique or unusual word?,0.723
Does the input mention any form of art or artistic activity?,0.715
Is the sentence describing a moment of peace or contentment?,0.713
Does the sentence contain a negation?,0.699
Does the story describe a shopping experience?,0.698
Does the input discuss educational content or learning?,0.697
Does the input include dialogue between characters?,0.696
Does the input discuss a collaboration or team effort?,0.685
Does the sentence include a comparison or simile?,0.682
"Is the sentence reflective, involving self-analysis or introspection?",0.68
Is there a reference to health and safety precautions?,0.679
Does the input include a philosophical or reflective thought?,0.676
Does the story mention a health issue or injury?,0.675
Is a specific location referred to in the input?,0.67
Does the text mention a personal limit or boundary?,0.669
Does the text mention a form of alternative transportation?,0.667
Does the sentence include numerical information?,0.666
Is there any mention of a dream or aspiration?,0.663
Is there a reference to physical health or fitness?,0.661
Does the input describe a sensory experience?,0.654
"Does the sentence describe a physical sensation (e.g., touch, taste)?",0.646
Does the sentence mention a mode of transportation?,0.646
Does the input mention a piece of furniture or home decor?,0.645
Is an educational lesson or class described?,0.643
Is the sentence conveying the narrator's physical movement or action in detail?,0.642
Is someone running in the input text?,0.639
Does the input mention laughter?,0.638
Does the input involve a financial planning or investment strategy?,0.631
Does the input mention a construction or building?,0.628
Does the sentence include a rhetorical question?,0.622
Does the sentence describe a personal preference?,0.621
Does the sentence convey a decision or choice made by the narrator?,0.62
Is there a mention of a significant weather event?,0.613
Is there a mention of a gift or present?,0.611
Does the input contain a number?,0.61
Does the input involve a philosophical question or theory?,0.61
Is the sentence describing a physical sensation experienced by the narrator?,0.61
Is the sentence describing a work or school-related task?,0.609
Does the input mention a specific animal species?,0.608
Is the sentence describing an immediate reaction to an event or action?,0.608
Is the sentence expressing admiration or praise?,0.608
Is the sentence part of a legal document or text?,0.608
Does the input discuss environmental concerns or issues?,0.607
Does the sentence mention a specific location?,0.606
Is the input about a social or community event?,0.606
Is there a mention of an environmental or ecological practice?,0.605
Does the input contain emotional words?,0.604
Does the sentence involve mathematical reasoning?,0.6
Does the input describe a specific emotion in detail?,0.597
Does the sentence involve spatial reasoning?,0.596
Does the sentence include dialogue?,0.596
Is the sentence conveying the narrator's admiration or respect for another character?,0.596
Does the sentence reference a specific time of day?,0.593
Does the input reference an event or phenomenon in nature?,0.592
Is there a discussion about ethical consumption or sustainability?,0.588
Does the sentence reference a famous person or event?,0.587
Does the sentence express confidence or certainty?,0.583
Does the input include a description of clothing?,0.582
Is a specific color or pattern described?,0.581
Is there a mention of a competition or contest?,0.58
Is a language or linguistic detail mentioned?,0.58
Does the input describe a scientific experiment or discovery?,0.575
Does the input involve gardening or plant care?,0.572
Is there mention of a public service or community project?,0.571
Is a specific chemical or substance mentioned?,0.571
Is an apology or expression of regret included?,0.569
Is time mentioned in the input?,0.569
Does the sentence describe a physical action?,0.565
Is the input reflecting on a personal change or growth?,0.565
Does the input discuss a medical treatment or procedure?,0.563
Is there mention of a traditional or cultural dish?,0.561
Does the text involve a financial transaction?,0.561
Is a specific language or linguistic feature mentioned?,0.56
Does the input contain negativity?,0.56
Is there a mention of a natural disaster?,0.559
Does the text describe a hobby in detail?,0.558
Does the text mention a celebrity or public figure?,0.555
Does the input include a mention of a personal idol or hero?,0.555
Does the sentence use future tense?,0.553
Does the input involve animals or wildlife?,0.552
Is the sentence related to education or learning?,0.551
Is a mathematical concept or number mentioned?,0.549
Is there an expression of regret or apology?,0.548
Does the input contain advice or recommendations?,0.548
"Is there mention of a city, country, or geographic feature?",0.547
Is the sentence part of a poem or song?,0.543
Is there a reference to a specific individual or public figure?,0.54
Does the text mention a plant or gardening?,0.539
Does the sentence contain a question?,0.538
Does the sentence involve a safety or security concern?,0.536
Is a specific tool or equipment mentioned?,0.534
Is the sentence related to health and fitness advice?,0.532
Is a specific location described?,0.532
Is the sentence related to environmental issues?,0.531
Is the sentence describing a craft or DIY project?,0.53
Is the sentence mentioning a pet or domestic animal?,0.53
Does the input mention a change in a relationship?,0.53
Does the sentence include an idiom?,0.529
Is a health condition or disease mentioned?,0.529
Does the sentence describe a routine activity?,0.527
Is a specific piece of technology or gadget mentioned?,0.526
Does the sentence involve a negotiation or compromise?,0.526
Is there a mention of a scientific fact or concept?,0.525
Is there a discussion about politics or government?,0.523
Is the sentence about a game or leisure activity?,0.522
Does the sentence describe a sensory experience?,0.52
Is the sentence autobiographical?,0.52
Is there a mention of a gadget or piece of technology?,0.518
Does the input describe a nighttime setting?,0.517
Does the sentence describe a physical sensation?,0.516
Is there a reference to a personal idol or role model?,0.514
Does the input mention a specific event or festival?,0.512
Does the input involve a financial topic or economic concept?,0.511
Does the input describe a body of water?,0.51
Is there an expression of love or affection?,0.508
Does the input involve a coding or programming concept?,0.508
Does the sentence mention a holiday or celebration?,0.507
Is the sentence in the active voice?,0.506
Does the sentence reference historical events?,0.505
Does the story mention a craft or DIY project?,0.504
Is the input expressing a wish or desire?,0.503
Does the input describe a scenic view or panorama?,0.502
Does the story mention an act of charity or volunteering?,0.502
Is the sentence a well-known quote or saying?,0.501
Is there stuttering or uncertainty in the input?,0.5
Does the input express empathy or compassion?,0.499
Is a sport or physical activity mentioned in the input?,0.498
Does the input involve a vehicle or mode of transportation?,0.498
Is there any mention of weather or climate conditions?,0.498
"Is a significant life event, like a wedding or graduation, mentioned?",0.492
Is the sentence involving a risk or dare?,0.492
Is there mention of a family or personal relationship?,0.491
Is the sentence related to politics or government?,0.49
Does the sentence describe a moment of companionship or solitude?,0.489
Is there mention of a unique or unusual hobby?,0.488
Does the input involve a debate or controversial topic?,0.486
Does the input involve a financial transaction or discussion?,0.484
Is a cultural event or festival mentioned?,0.484
Is there a mention of a childhood aspiration or dream job?,0.483
Does the input involve planning or organizing?,0.483
Is there any mention of a family member?,0.482
Is there a mention of reading or writing?,0.482
Does the text describe a form of transportation?,0.481
Is there a discussion of a lesson learned or wisdom gained?,0.48
Does the sentence describe a scientific experiment or finding?,0.48
Does the sentence involve a logical paradox?,0.478
Is a family member mentioned?,0.477
Does the input mention a routine or daily activity?,0.477
Is the input about a scientific discovery or concept?,0.475
Does the input discuss an environmental issue or conservation effort?,0.474
Is there a mention of a space or astronomical phenomenon?,0.474
Is the input about a personal achievement or milestone?,0.474
Does the input involve a scientific experiment or research study?,0.471
Is there a mention of a place of worship or religious practice?,0.47
Is an environmental concern or issue mentioned?,0.468
Is the sentence emotionally neutral?,0.468
Is there a mention of a future plan or intention?,0.467
Does the story describe a work or school setting?,0.467
