question,avg_abs_coef_normalized
Does the sentence involve mathematical reasoning?,1.0
Does the sentence include a number or statistic?,0.878
Does the text mention a celebrity or public figure?,0.867
Does the sentence reference a specific time or date?,0.851
Does the sentence contain a proper noun?,0.829
Does the sentence include numerical information?,0.818
Does the sentence include a direct speech quotation?,0.81
Does the sentence describe a visual experience or scene?,0.807
Does the sentence include an oxymoron?,0.801
Does the sentence include a foreign word or phrase?,0.801
Does the sentence include a recounting of an impactful or emotional dialogue?,0.785
"Does the sentence convey the narrator's relationship with time, such as impatience or nostalgia?",0.782
Does the sentence reference a famous person or event?,0.773
Does the input mention laughter?,0.767
Does the input express feelings of jealousy or envy?,0.765
Does the input describe a specific texture or sensation?,0.764
Does the sentence include a specific sound or auditory description?,0.761
Is a form of non-verbal communication depicted?,0.758
Does the input mention a construction or building?,0.748
Does the story describe a shopping experience?,0.743
Is the sentence structured as a list?,0.743
Is the sentence in the passive voice?,0.741
Is the sentence autobiographical?,0.74
Is the sentence a question?,0.732
Does the sentence include dialogue?,0.73
Does the text describe a form of therapy or healing?,0.726
Does the sentence reveal a secret or confidential information?,0.726
"Is a specific school, university, or educational institution mentioned?",0.722
Is the input related to a specific industry or profession?,0.718
Does the sentence contain a cultural reference?,0.717
Does the input discuss a fashion trend or style advice?,0.711
Does the input describe a form of local or community service?,0.71
Is someone running in the input text?,0.706
Does the sentence describe an indoor setting?,0.705
Does the sentence describe an economic concept or issue?,0.704
Does the sentence use irony or sarcasm?,0.701
Does the sentence mention a holiday or celebration?,0.701
Is the sentence expressing the narrator's aspirations for societal change or impact?,0.7
Does the sentence include technical or specialized terminology?,0.699
Is the sentence related to education or learning?,0.698
Does the sentence involve the mention of a specific object or item?,0.697
Does the sentence include a rhetorical question?,0.695
Does the input contain a measurement?,0.694
Is the sentence part of a poem or song?,0.694
Is the sentence conveying a sense of awe or wonder experienced by the narrator?,0.693
Does the sentence use alliteration or rhyme?,0.693
Does the sentence use a unique or unusual word?,0.69
Does the sentence involve a logical paradox?,0.69
Is the sentence part of a mystery or puzzle?,0.689
Does the input include a description of clothing?,0.687
