question,avg_abs_coef_normalized
Does the sentence involve mathematical reasoning?,1.0
Does the sentence include a number or statistic?,0.881
Does the text mention a celebrity or public figure?,0.864
Does the sentence reference a specific time or date?,0.862
Does the sentence contain a proper noun?,0.829
Does the sentence include numerical information?,0.827
Does the sentence describe a visual experience or scene?,0.824
Does the sentence include a foreign word or phrase?,0.814
Does the sentence include a direct speech quotation?,0.809
Does the sentence include an oxymoron?,0.803
Does the sentence reference a famous person or event?,0.792
Does the sentence include a recounting of an impactful or emotional dialogue?,0.785
"Does the sentence convey the narrator's relationship with time, such as impatience or nostalgia?",0.784
Does the input describe a specific texture or sensation?,0.779
Does the input express feelings of jealousy or envy?,0.773
Does the input mention laughter?,0.766
Is the sentence in the passive voice?,0.764
Is a form of non-verbal communication depicted?,0.761
Does the sentence include a specific sound or auditory description?,0.756
Does the input mention a construction or building?,0.752
Is the sentence structured as a list?,0.746
Is the sentence autobiographical?,0.745
Does the story describe a shopping experience?,0.742
Is the sentence a question?,0.737
"Is a specific school, university, or educational institution mentioned?",0.734
Does the sentence include dialogue?,0.732
Is the input related to a specific industry or profession?,0.723
Does the sentence reveal a secret or confidential information?,0.722
Does the text describe a form of therapy or healing?,0.722
Does the sentence use a unique or unusual word?,0.721
Does the sentence contain a cultural reference?,0.718
Does the input describe a form of local or community service?,0.716
Does the sentence involve the mention of a specific object or item?,0.715
Is someone running in the input text?,0.71
Does the sentence include a rhetorical question?,0.71
Does the sentence include technical or specialized terminology?,0.71
Does the sentence describe an indoor setting?,0.708
Does the input discuss a fashion trend or style advice?,0.708
Does the sentence use alliteration or rhyme?,0.702
Is the sentence related to education or learning?,0.701
Does the sentence describe an economic concept or issue?,0.701
Does the sentence use irony or sarcasm?,0.701
Is the sentence conveying a sense of awe or wonder experienced by the narrator?,0.699
Does the text include a reference to a famous painting or sculpture?,0.695
"Is there a mention of a book, movie, or song?",0.694
Does the sentence mention a holiday or celebration?,0.693
Does the sentence involve a logical paradox?,0.693
Does the text mention a form of manual labor or craft?,0.692
Is the sentence expressing the narrator's aspirations for societal change or impact?,0.692
Is the sentence part of a poem or song?,0.69
Does the input include a description of clothing?,0.689
Does the sentence mention a family member?,0.686
Does the input contain a measurement?,0.685
Does the story involve a form of meditation or mindfulness?,0.683
Is there a mention of a fictional character or story?,0.683
Does the input discuss a natural disaster or emergency situation?,0.682
Is the sentence part of a mystery or puzzle?,0.682
Is there a mention of a gift or present?,0.681
"Does the sentence describe a physical sensation (e.g., touch, taste)?",0.68
Does the input discuss a medical treatment or procedure?,0.679
Is an educational lesson or class described?,0.679
Does the input mention a piece of furniture or home decor?,0.679
Does the sentence mention an event or activity involving family or friends?,0.675
Is the sentence part of a scientific explanation?,0.675
Does the sentence describe a moment of relief or resolution of tension?,0.672
Does the story include an act of bravery or courage?,0.671
Is the sentence providing an explanation or rationale?,0.669
Does the sentence reference a specific time of day?,0.668
Is a specific color or pattern described?,0.668
Is the sentence conveying the narrator's physical movement or action in detail?,0.666
Does the text involve a financial transaction?,0.665
Does the sentence include a threat or warning?,0.664
Does the input contain a number?,0.664
Is time mentioned in the input?,0.663
Does the input describe a specific emotion in detail?,0.658
Does the text involve a journey by foot?,0.657
Does the input involve planning or organizing?,0.657
Does the sentence involve a negotiation or compromise?,0.655
Is the sentence conveying a sense of loneliness or isolation?,0.655
Is a personal preference or taste described?,0.652
Is the sentence about a current event or recent news?,0.652
Does the sentence involve a discussion or description of a mental health issue?,0.651
Does the sentence describe a fictional scenario?,0.651
Does the sentence describe a physical sensation?,0.649
Does the sentence discuss an interaction with an authority figure or professional?,0.649
Is a specific tool or equipment mentioned?,0.649
Does the input mention a specific event or festival?,0.648
Does the sentence reference historical events?,0.648
"Does the sentence express a moment of forgiveness, either giving or receiving?",0.646
Does the sentence reference a religious or spiritual concept?,0.646
Does the story talk about a friendship or relationship ending?,0.646
Does the sentence involve spatial reasoning?,0.646
Is a specific season described?,0.645
Is hair or clothing mentioned in the input?,0.645
Does the sentence include a comparison or simile?,0.644
Is the sentence conveying a strategic or tactical thought by the narrator?,0.644
Does the input describe a body of water?,0.644
Does the sentence contain a pun?,0.643
Does the input include a mention of a personal idol or hero?,0.642
Is the sentence a command?,0.642
Is there a mention of a competition or contest?,0.642
Does the input include dialogue between characters?,0.64
Does the input describe a scenic view or panorama?,0.64
Does the sentence involve a personal anecdote about family or friends?,0.639
Is the sentence describing a moment of peace or contentment?,0.638
"Is a significant life event, like a wedding or graduation, mentioned?",0.638
Does the sentence contain a contradiction?,0.636
Does the text describe a journey?,0.635
Does the input describe a sensory experience?,0.635
Is the sentence related to food or eating?,0.635
Is a famous quote or saying referenced?,0.634
Does the text include a reference to a past era or time period?,0.634
Is the sentence referencing legal matters or rights?,0.633
Does the text include a prediction or expectation?,0.633
Does the sentence involve a discussion of a familial relationship?,0.633
Is the sentence related to politics or government?,0.632
Is there a reference to a specific individual or public figure?,0.631
Is a superstition or myth discussed?,0.63
Does the text mention a plant or gardening?,0.63
Does the sentence describe an unexpected encounter or meeting?,0.629
Does the input discuss a collaboration or team effort?,0.628
Does the sentence describe an act of personal care or maintenance?,0.627
"Is there mention of a city, country, or geographic feature?",0.627
Is the sentence in the active voice?,0.625
Is there a depiction of an urban or rural difference?,0.624
Does the text mention a personal limit or boundary?,0.624
Does the sentence include dialogue or thoughts directed towards another character?,0.624
Does the text describe a mode of communication?,0.623
Is the sentence related to fashion or personal style?,0.623
Does the input include a comparison or metaphor?,0.622
Is the sentence emotionally neutral?,0.622
"Is there a mention of a geographical feature, like a mountain or river?",0.621
Does the sentence contain a question?,0.621
Does the input involve a philosophical question or theory?,0.621
Does the input discuss a philosophical or existential question?,0.621
Does the text mention a form of alternative transportation?,0.62
Does the sentence mention a specific type of clothing?,0.619
Does the input mention a friendship?,0.619
Is a language or linguistic detail mentioned?,0.618
Does the sentence include the mention of a specific time of day?,0.618
Does the sentence include a conditional clause?,0.617
Does the input discuss educational content or learning?,0.617
Does the sentence involve time travel or hypothetical future scenarios?,0.616
Does the sentence describe an art or craft technique?,0.616
Does the input involve a debate or controversial topic?,0.615
Does the text describe an adventure or risky activity?,0.614
Does the text describe a hobby in detail?,0.614
Does the sentence describe a sensory experience?,0.613
Does the story talk about an act of defiance or rebellion?,0.613
