question,avg_abs_coef_normalized
Does the sentence involve mathematical reasoning?,1.0
Does the sentence include technical or specialized terminology?,0.96
Does the sentence include an oxymoron?,0.95
Does the input describe a specific texture or sensation?,0.935
Does the sentence contain a pun?,0.892
Does the sentence include a direct speech quotation?,0.878
Is the sentence autobiographical?,0.85
Is the sentence humorous because of a play on words?,0.845
Does the sentence contain a proper noun?,0.842
Does the sentence describe a fictional scenario?,0.83
Does the sentence include a rhetorical question?,0.825
Is the sentence conveying a sense of loneliness or isolation?,0.821
Does the sentence describe a specific method or technique?,0.801
Does the sentence include a foreign word or phrase?,0.791
Is the sentence describing an immediate reaction to an event or action?,0.788
Does the sentence reveal a secret or confidential information?,0.785
Is the sentence structured as a list?,0.782
Is the sentence conveying a sense of awe or wonder experienced by the narrator?,0.779
Is the sentence expressing the narrator's aspirations for societal change or impact?,0.764
Does the input discuss a philosophical or existential question?,0.755
Is a specific profession or job role mentioned?,0.753
Does the sentence describe a physical appearance or feature?,0.749
Is the sentence conveying a strategic or tactical thought by the narrator?,0.746
"Does the sentence convey the narrator's relationship with time, such as impatience or nostalgia?",0.736
Is the sentence conveying the narrator's physical movement or action in detail?,0.732
Is there a mention of a specific psychological condition or mental health issue?,0.73
Is time mentioned in the input?,0.728
Does the sentence express the narrator's opinion or judgment about an event or character?,0.723
"Is a specific school, university, or educational institution mentioned?",0.723
Does the sentence describe a hypothetical scenario?,0.722
Does the sentence include a number or statistic?,0.718
Does the sentence involve a comparison or analogy?,0.713
Is there a reference to a specific social or cultural identity?,0.711
Does the sentence describe an experience of surprise or shock?,0.707
Does the sentence contain dialogue or reported speech?,0.705
Does the sentence include numerical information?,0.702
Is the sentence a question?,0.7
Is a form of non-verbal communication depicted?,0.7
Does the sentence convey the narrator's sense of humor or wit?,0.699
Is a specific age mentioned?,0.697
Is the input related to a specific industry or profession?,0.697
Is a change in location or setting mentioned?,0.693
Is a social gathering or event described?,0.692
Does the sentence include dialogue or thoughts directed towards another character?,0.692
Does the sentence use alliteration or rhyme?,0.684
Does the text include a reference to a past era or time period?,0.682
Does the input express feelings of jealousy or envy?,0.682
Does the input contain a number?,0.678
Is the sentence describing a moment of peace or contentment?,0.676
Is the sentence emotionally neutral?,0.672
Does the sentence include a conditional clause?,0.672
Does the sentence mention a specific form of communication or language?,0.669
Is the sentence in the passive voice?,0.668
