question,avg_abs_coef_normalized
Does the sentence include technical or specialized terminology?,1.0
Is there a comparison or metaphor?,0.811
Does the input describe a specific texture or sensation?,0.786
Does the input discuss a philosophical or existential question?,0.74
Is the input related to a specific industry or profession?,0.733
Does the text include a prediction or expectation?,0.729
Does the sentence include dialogue?,0.728
Does the input contain repetition?,0.718
Does the sentence include a number or statistic?,0.712
Does the sentence describe a physical sensation?,0.71
Does the sentence include a foreign word or phrase?,0.709
Does the input include dialogue between characters?,0.708
Does the sentence describe a physical action?,0.698
Is there a discussion of a psychological concept or mental health issue?,0.693
Is there a discussion about ethical consumption or sustainability?,0.688
Does the input include a philosophical or reflective thought?,0.68
Does the input mention a personal insecurity or doubt?,0.678
Does the text include a reference to a past era or time period?,0.673
Is the input about overcoming a fear or challenge?,0.662
Is a social gathering or event described?,0.66
Is a legal or ethical dilemma discussed?,0.659
Is time mentioned in the input?,0.659
Does the story include a lesson or moral?,0.654
Does the input contain humor or sarcasm?,0.65
Does the text describe a mode of communication?,0.647
Does the input contain a number?,0.643
Does the text describe a journey?,0.642
Is there a discussion of a new skill or hobby being learned?,0.642
Does the input involve a puzzle or problem to solve?,0.64
Is the input about a practical joke or prank?,0.636
Does the input describe a sensory experience?,0.634
Is the sentence describing a misunderstanding or confusion?,0.614
Is a personal belief or value expressed?,0.612
Is a specific location described?,0.609
Does the text include a planning or decision-making process?,0.607
Does the input describe a moment of realization or epiphany?,0.604
Does the input discuss educational content or learning?,0.603
Is there mention of a unique or unusual hobby?,0.599
Is an apology or expression of regret included?,0.598
Does the sentence involve a safety or security concern?,0.59
Is a superstition or myth discussed?,0.59
Is the sentence providing an explanation or rationale?,0.589
Is there an expression of regret or apology?,0.588
Is the input about a misunderstanding or assumption?,0.586
Is a form of non-verbal communication depicted?,0.58
Does the input express feelings of jealousy or envy?,0.578
Is there a reference to a philosophical or ethical dilemma?,0.576
Does the story involve a close call or narrow escape?,0.575
"Is there a discussion about sleep, dreams, or rest?",0.572
Does the sentence contain a question?,0.568
Does the input express surprise or disbelief?,0.564
Does the input include a moment of self-discovery?,0.563
Does the story mention an invention or discovery?,0.562
Is a conflict or problem introduced?,0.562
Does the input discuss a personal achievement or milestone?,0.561
Is there any mention of a family member?,0.56
Does the input discuss a medical treatment or procedure?,0.559
Does the input involve a philosophical question or theory?,0.557
