question,avg_abs_coef_normalized
Is a supernatural or paranormal event discussed?,1.0
Does the sentence mention a specific location?,0.962
Does the input discuss travel or exploration?,0.938
Is the sentence describing a work or school-related task?,0.858
Does the sentence express confidence or certainty?,0.847
Does the sentence describe a physical action?,0.838
Does the sentence include a number or statistic?,0.837
Does the sentence describe a physical sensation?,0.805
Does the input discuss educational content or learning?,0.791
Does the sentence involve a negotiation or compromise?,0.789
Does the sentence describe a landscape or natural feature?,0.778
Is the input about a social or community event?,0.759
Is a historic landmark or monument described?,0.745
Is there an expression of regret or apology?,0.733
Is the sentence giving advice or a suggestion?,0.732
Does the input describe an encounter with a stranger?,0.732
Does the sentence describe weather conditions?,0.725
Does the sentence express longing or nostalgia?,0.721
Is time mentioned in the input?,0.719
Is a personal or family recipe mentioned?,0.718
Is cooking or a recipe discussed in the input?,0.713
Does the input involve a coding or programming concept?,0.704
Is a sport or physical activity mentioned in the input?,0.699
Does the input involve a craft or handiwork project?,0.697
Is the input about a scientific discovery or concept?,0.693
Is a specific location described?,0.692
Is there a reference to a personal idol or role model?,0.69
Does the input involve the creation or invention of something?,0.686
Does the input involve a debate or controversial topic?,0.686
Does the input discuss a technology trend or future prediction?,0.685
Does the input include a description of clothing?,0.679
"Is there mention of a concert, play, or live performance?",0.672
Is the sentence providing an explanation or rationale?,0.67
Does the sentence reference a specific time of day?,0.667
Does the input describe a sensory experience?,0.665
Is there a discussion about politics or government?,0.664
"Is there mention of a war, battle, or military event?",0.66
Is there a mention of a competition or contest?,0.66
Does the input discuss a fashion trend or style advice?,0.66
Is there a mention of a place of worship or religious practice?,0.654
Does the input involve gardening or plant care?,0.654
Does the input discuss an act of kindness or charity?,0.651
Does the input contain advice or recommendations?,0.65
Is there a mention of a specific food or drink?,0.649
Does the input involve a critique or review of something?,0.648
Does the input discuss a collaboration or team effort?,0.647
Is there an expression of love or affection?,0.644
Does the input describe a body of water?,0.643
Does the text describe a hobby in detail?,0.64
Does the input mention a form of artistic expression?,0.638
